uuid|_user|_when|theme|datatype|text|ConversationId|User
id_7|francois-xavier@lajavaness.com|2020-03-24 17:15:27|AGGRESSIVE|text|connard|6ITbkiRPrEQ9lp7IojEILW|igoffin
id_9|francois-xavier@lajavaness.com|2020-03-24 17:16:57|PHATIQUE|text|bonjour Socrac|7yGR6393CXf1jh3b4CJB2Y|I05645
id_10|francois-xavier@lajavaness.com|2020-03-24 17:18:45|LINKY|text|définition de linky|CMtfKaOMsPozdHw1RaR6x|igoffin
id_16|francois-xavier@lajavaness.com|2020-03-24 17:21:26|PHATIQUE|text|bonne année|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_18|francois-xavier@lajavaness.com|2020-03-24 17:21:33|PHATIQUE|text|parfait|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_20|francois-xavier@lajavaness.com|2020-03-24 17:21:35|PHATIQUE|text|comment ca va|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_21|francois-xavier@lajavaness.com|2020-03-24 17:21:38|PHATIQUE|text|au revoir|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_22|francois-xavier@lajavaness.com|2020-03-24 17:23:16|JSP|text|tu ne comprends rien|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_23|francois-xavier@lajavaness.com|2020-03-24 17:23:18|JSP|text|tu réponds bien je trouve|AoA47gfcJPdIW94a0rX3Qk|igoffin
id_24|francois-xavier@lajavaness.com|2020-03-24 17:24:28|JSP|text|que veut dire ARO ?|5GoZ7DLeXf65Sw0Af8HZCc|igoffin
id_25|francois-xavier@lajavaness.com|2020-03-24 17:24:48|RACCO|text|pièces interdit panneau de comptage|5GoZ7DLeXf65Sw0Af8HZCc|igoffin
id_26|francois-xavier@lajavaness.com|2020-03-24 17:24:53|SUPPRIMER|text|ddd|5GoZ7DLeXf65Sw0Af8HZCc|igoffin
id_27|francois-xavier@lajavaness.com|2020-03-24 17:24:56|PHATIQUE|text|Bonjour|1ol9aMLtL9oAmZhS2sHNaU|I05645
id_28|francois-xavier@lajavaness.com|2020-03-24 17:26:23|RACCO|text|c quoi une convention de servitude ?|1ol9aMLtL9oAmZhS2sHNaU|I05645
id_29|francois-xavier@lajavaness.com|2020-03-24 17:26:46|JSP|text|appartenance branchement en bien propre ?|191zNTN9bgJIfg31xQmbkj|I05645
id_30|francois-xavier@lajavaness.com|2020-03-24 17:27:04|RACCO|text|pourquoi faire une DICT ?|191zNTN9bgJIfg31xQmbkj|I05645
id_31|francois-xavier@lajavaness.com|2020-03-24 17:27:13|RACCO|text|comment faire une convention de servitude ?|191zNTN9bgJIfg31xQmbkj|I05645
id_32|francois-xavier@lajavaness.com|2020-03-24 17:27:41|RACCO|text|mise en service groupée ?|191zNTN9bgJIfg31xQmbkj|I05645
id_34|jindun@lajavaness.com|2020-03-24 17:28:07|SUPPRIMER|text|kldfjqsml|191zNTN9bgJIfg31xQmbkj|I05645
id_33|francois-xavier@lajavaness.com|2020-03-24 17:28:22|JSP|text|quand faut-il faire de l'élagage ?|191zNTN9bgJIfg31xQmbkj|I05645
id_36|francois-xavier@lajavaness.com|2020-03-24 17:28:26|RACCO|text|convention de servitude|191zNTN9bgJIfg31xQmbkj|I05645
id_37|francois-xavier@lajavaness.com|2020-03-24 17:28:27|RACCO|text|convention d eservitude|191zNTN9bgJIfg31xQmbkj|I05645
id_38|francois-xavier@lajavaness.com|2020-03-24 17:28:29|RACCO|text|je voulais savoir ce que c'est une convention de servitude|191zNTN9bgJIfg31xQmbkj|I05645
id_39|francois-xavier@lajavaness.com|2020-03-24 17:28:31|RACCO|text|je voulais savoir ce que c'est une convention de servitude pas comment réaliser une convention de servitude|AcbbDez9kMiJRXzwBaQllB|I05645
id_40|francois-xavier@lajavaness.com|2020-03-24 17:29:37|JSP|text|nouvelle question|LJgG48R9r82KtuOFvuR4SS|I05645
id_41|francois-xavier@lajavaness.com|2020-03-24 17:29:54|RACCO|text|Quelles sont les conditions à remplir pour une mise en service ? |LJgG48R9r82KtuOFvuR4SS|I05645
id_42|francois-xavier@lajavaness.com|2020-03-24 17:30:11|RACCO|text|Quelles sont les conditions à remplir pour une mise en service d'un raccordement en soutirage ?|LJgG48R9r82KtuOFvuR4SS|I05645
id_43|francois-xavier@lajavaness.com|2020-03-24 17:30:26|RACCO|text|Où puis-je avoir la liste des fournisseurs ?|LJgG48R9r82KtuOFvuR4SS|I05645
id_44|francois-xavier@lajavaness.com|2020-03-24 17:30:30|PHATIQUE|text|comment va tu|IlfCV82yFNoHGYZ05XCbFy|I88845
id_45|francois-xavier@lajavaness.com|2020-03-24 17:30:58|JSP|text|que fait on aujourd'hui?|IlfCV82yFNoHGYZ05XCbFy|I88845
id_46|francois-xavier@lajavaness.com|2020-03-24 17:31:01|RACCO|text|delais 1e mise en service|IlfCV82yFNoHGYZ05XCbFy|I88845
id_47|francois-xavier@lajavaness.com|2020-03-24 17:31:04|RACCO|text|Quel est le délai pour la mise en service d'un raccordement ?|IlfCV82yFNoHGYZ05XCbFy|I88845
id_48|francois-xavier@lajavaness.com|2020-03-24 17:31:07|PHATIQUE|text|je peux te poser une question ?|KwD3BTIE8Bu2wvAAnuRKnm|C10256
id_49|pierre@lajavaness.com|2020-03-25 12:27:28|RACCO|text|qu est ce qu une liaison B|2syh1LkKB5d7DjZcDeGry8|C10256
id_50|francois-xavier@lajavaness.com|2020-03-24 17:31:24|JSP|text|oui je veux bien |GPvO00BjThz2FrznfFD50z|C10256
id_51|francois-xavier@lajavaness.com|2020-03-24 17:31:38|RACCO|text|quel est le diametre du fourreau ?|BCPrSmaHV7o4JBkJnXgoJp|C10256
id_52|francois-xavier@lajavaness.com|2020-03-24 17:31:41|RACCO|text|qu est ce qu une liaison B?|BCPrSmaHV7o4JBkJnXgoJp|C10256
id_53|francois-xavier@lajavaness.com|2020-03-24 17:31:44|RACCO|text|qu est ce qu un raccordement |BCPrSmaHV7o4JBkJnXgoJp|C10256
id_54|francois-xavier@lajavaness.com|2020-03-24 17:31:50|JSP|text|merci|BCPrSmaHV7o4JBkJnXgoJp|C10256
id_55|francois-xavier@lajavaness.com|2020-03-24 17:32:35|JSP|text|branchement T1|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_56|francois-xavier@lajavaness.com|2020-03-24 17:32:54|RACCO|text|Quelle est la définition de Type 1|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_57|francois-xavier@lajavaness.com|2020-03-24 17:33:01|AUTRE|text|fait il beau|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_58|francois-xavier@lajavaness.com|2020-03-24 17:33:06|RACCO|text|t2|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_59|francois-xavier@lajavaness.com|2020-03-24 17:33:12|JSP|text|Aucun choix|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_60|francois-xavier@lajavaness.com|2020-03-24 17:33:35|JSP|text|rib|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_62|francois-xavier@lajavaness.com|2020-03-24 17:35:10|RACCO|text|prix d'un branchement|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_63|francois-xavier@lajavaness.com|2020-03-24 17:35:25|RACCO|text|consuel|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_64|francois-xavier@lajavaness.com|2020-03-24 17:35:27|RACCO|text|Quelles sont les coordonnées de Consuel ?|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_65|francois-xavier@lajavaness.com|2020-03-24 17:35:29|RACCO|text|t1|L6ZxvYv8sF8GsXVtsftNt7|I88845
id_66|francois-xavier@lajavaness.com|2020-03-24 17:35:42|RACCO|text|bp|7AOlhECkVm2Cux7CuKvjnI|I88845
id_67|francois-xavier@lajavaness.com|2020-03-24 17:36:05|RACCO|text|combien de temps peut rester un BP|7AOlhECkVm2Cux7CuKvjnI|I88845
id_69|francois-xavier@lajavaness.com|2020-03-24 17:36:21|AGGRESSIVE|text|tu es moche|IWGfxy2KZBYlGqsvTwdTF|J14674
